mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv
gdb_82512,CC1C2C3OC3(C)CN12,2.80904,1.54689,1.35905,2.7839,77.44,-0.2256,0.0773,0.3029,1048.0582,0.17115,-403.116704,-403.108507,-403.107562,-403.148934,32.411
gdb_56133,NC(=O)COC(=N)C=O,4.95513,0.72996,0.64021,3.8379,64.78,-0.2613,-0.0783,0.183,1623.9766,0.109828,-491.11661,-491.106641,-491.105696,-491.154461,32.781
gdb_69369,CC12CC(C3CO3)C1O2,4.99095,0.93885,0.87545,2.2887,76.27,-0.2465,0.0801,0.3266,1361.4055,0.157836,-422.968782,-422.96027,-422.959326,-423.002274,32.011
gdb_25874,CC(=O)c1cc([nH]c1)O,4.26774,1.01122,0.82169,4.0736,74.51,-0.2019,-0.0203,0.1816,1328.8297,0.123881,-437.946376,-437.937607,-437.936662,-437.980085,32.119
gdb_15609,CN=C1NC=NC1C,3.48334,1.81296,1.27147,3.0644,72.37,-0.2255,-0.0042,0.2213,969.3304,0.14241,-360.068929,-360.060544,-360.0596,-360.102054,29.693
gdb_56852,NC(C#N)C1C2CCN12,2.86626,1.25337,1.04537,3.8445,75.62,-0.2438,0.0196,0.2634,1182.0684,0.149076,-398.076944,-398.068415,-398.067471,-398.11085,31.707
gdb_49915,C1CN1C2CN(C2)C=O,5.58719,0.80045,0.73844,4.9986,79.88,-0.2384,0.027,0.2654,1524.2886,0.159312,-419.178563,-419.16971,-419.168766,-419.214059,31.36
gdb_119379,CCOC12CC(C1)C2C,2.96702,1.06523,0.92046,0.8412,87.28,-0.2451,0.0985,0.3436,1416.9753,0.205097,-388.244527,-388.235047,-388.234103,-388.279203,35.946
gdb_43774,O=C1NC2(CC12)C1CO1,4.97157,1.04433,0.97763,3.6169,70.06,-0.2499,0.0035,0.2534,1188.0803,0.124361,-437.85045,-437.842876,-437.841932,-437.882908,28.791
gdb_15612,CN=C1C(=O)CCO1,3.3706,1.85618,1.22952,3.9801,66.34,-0.2485,-0.0635,0.185,956.4782,0.118397,-399.824793,-399.816957,-399.816013,-399.857904,27.078
gdb_102633,C(C(CO)OC(=O)N)O,2.50444,1.0636,0.96321,2.5178,64.64,-0.2577,0.047,0.3047,1301.7563,0.146877,-513.39403,-513.384173,-513.383229,-513.429503,35.433
gdb_77624,CC1C2(C)COC12C#N,2.11333,1.47263,1.30464,4.8853,78.4,-0.2532,-0.0053,0.248,1111.5409,0.146321,-401.927253,-401.918279,-401.917335,-401.960678,33.114
gdb_50787,C#CC#CC(=N)NC=O,7.25967,0.61328,0.5655,5.4962,88.83,-0.2567,-0.074,0.1827,1799.3804,0.087402,-415.572194,-415.563113,-415.562169,-415.607272,31.384
gdb_88478,OC1CC1C1(O)COC1,3.15537,1.15628,1.09769,1.7051,71.29,-0.2306,0.0471,0.2778,1180.1952,0.15806,-460.112197,-460.103418,-460.102473,-460.145923,33.547
gdb_99900,CCC(O)(C#C)C1CN1,2.28205,1.34348,1.04098,2.3723,80.66,-0.2401,0.026,0.2661,1243.5595,0.168314,-403.084373,-403.074158,-403.073214,-403.119211,37.838
gdb_120548,CCCC1CC(C1)OC,4.87719,0.61496,0.60502,1.001,90.61,-0.2426,0.0856,0.3282,2002.9873,0.227723,-389.479963,-389.469298,-389.468354,-389.516369,38.834
gdb_30643,CC(CO)C1=CN=CN1,2.68428,1.32188,0.92491,4.7424,77.49,-0.2088,0.0412,0.2501,1255.0825,0.16102,-419.247563,-419.23877,-419.237826,-419.28122,32.849
gdb_44793,N=C1OC2CC12C1CC1,2.78803,1.50077,1.17346,2.4081,77.17,-0.2503,0.0193,0.2696,1088.1358,0.147945,-401.904297,-401.896442,-401.895498,-401.937054,30.49
gdb_86936,CC1C(O)CC1NC=O,2.72162,1.09535,0.99523,4.4077,77.34,-0.2416,0.0377,0.2793,1286.6623,0.170658,-440.300239,-440.290812,-440.289868,-440.334879,34.91
gdb_95976,CC1CCCN1C(C)=O,2.50335,1.39573,1.00744,3.761,82.99,-0.2296,0.0366,0.2662,1258.574,0.194786,-404.407137,-404.39759,-404.396646,-404.441494,35.482
gdb_84500,CC1C=CC2(CO2)C1O,3.08145,1.38933,1.11958,3.0719,77.92,-0.241,0.0088,0.2499,1133.3813,0.158524,-423.009024,-423.000478,-422.999534,-423.041994,33.08
gdb_99201,CC#CCNC(=O)NC,3.827,0.62565,0.59376,3.646,82.9,-0.2374,0.0438,0.2812,1957.2065,0.157381,-419.220229,-419.208919,-419.207975,-419.260013,37.353
gdb_85710,CC1NC(C#N)C1C#C,2.29439,1.4666,1.03506,4.6899,78.77,-0.2544,0.0094,0.2638,1171.5475,0.134912,-380.826115,-380.817078,-380.816134,-380.860087,33.192
gdb_83345,OC1C2OCC1(O)C2O,2.21168,1.67656,1.54587,2.6938,62.78,-0.2348,0.043,0.2777,961.4667,0.135861,-496.05928,-496.051255,-496.05031,-496.091187,31.862
gdb_49119,C1C(=CC(=O)C1=O)C=O,3.60989,1.11586,0.85685,3.0321,69.75,-0.2484,-0.1302,0.1183,1219.7193,0.087865,-456.610246,-456.602475,-456.601531,-456.643262,27.533
gdb_98208,CNC(=O)C(N)C#CC,2.16689,1.02418,0.72059,4.1715,82.09,-0.2312,0.0283,0.2596,1589.08,0.157504,-419.209458,-419.198233,-419.197289,-419.247658,37.756
gdb_15001,CCC1COCOC1,4.20977,1.35004,1.09598,1.9434,70.68,-0.2558,0.0809,0.3368,1119.5121,0.1787,-386.1468,-386.138824,-386.13788,-386.179218,30.08
gdb_76376,CC1C(C)C1(C)C(N)=O,2.34214,1.15824,1.12579,3.3207,83.62,-0.2394,0.0366,0.276,1288.0311,0.192346,-404.386454,-404.37561,-404.374666,-404.421981,39.759
gdb_78501,CC1C2C3(C)OC1C23O,2.46319,1.61582,1.28631,0.9522,75.34,-0.2222,0.0666,0.2888,1074.8967,0.157617,-422.963749,-422.955158,-422.954214,-422.996355,33.443
gdb_125681,CC1=NNN=C(N)C1=N,2.51222,1.79044,1.05453,2.7463,79.68,-0.2004,-0.0336,0.1668,1085.9886,0.126483,-430.243031,-430.234865,-430.23392,-430.275462,31.356
gdb_106386,COC12CC(C1)C1CC21,3.23551,1.44997,1.26077,1.0411,81.6,-0.2391,0.0934,0.3325,1088.4569,0.184173,-387.041308,-387.033614,-387.03267,-387.073304,31.624
gdb_101699,CCC(O)CC1(O)CC1,3.72547,0.82469,0.78741,2.304,82.19,-0.2458,0.0581,0.3039,1590.6737,0.203742,-425.415837,-425.405394,-425.40445,-425.451397,39.384
gdb_110086,OCC1C(C#N)N1C=O,2.05547,1.43654,1.09811,6.3619,67.76,-0.2689,-0.0186,0.2503,1130.1738,0.111115,-453.931264,-453.922242,-453.921298,-453.965618,31.176
gdb_19509,O=CC1C2CCCN12,3.70745,1.57273,1.54574,3.4157,69.3,-0.241,-0.0316,0.2094,905.0202,0.143576,-363.850222,-363.843082,-363.842138,-363.88184,26.735
gdb_54858,[O-]C(=O)C1C2CC[NH2+]C12,3.08797,1.35679,1.25369,6.5506,71.27,-0.241,0.0247,0.2657,1059.7851,0.150753,-439.109756,-439.102386,-439.101442,-439.141834,28.903
gdb_130728,C#Cc1nc(=O)[nH]nn1,3.83359,1.30594,0.9741,2.032,70.19,-0.2688,-0.1162,0.1526,1082.289,0.065825,-447.683838,-447.676712,-447.675768,-447.71587,25.786
gdb_36333,C#CCN1CC(C1)C#N,5.13465,0.76938,0.72145,3.2722,80.1,-0.2429,0.0198,0.2628,1523.809,0.135128,-380.818435,-380.809579,-380.808635,-380.852709,32.101
gdb_2129,CC1=CCCC1=O,3.80994,2.94052,1.7118,3.1894,64.18,-0.2347,-0.0368,0.198,728.6143,0.125279,-308.569129,-308.562215,-308.56127,-308.600271,24.789
gdb_60007,CC(C)CN(C)CC#N,3.62572,0.71813,0.7019,4.1034,87.68,-0.2353,0.0227,0.258,1733.4644,0.203667,-384.476441,-384.465373,-384.464429,-384.513286,39.527
gdb_103005,COC1(C#C)C(C)C1O,2.09119,1.40526,1.16772,1.0385,79.42,-0.228,0.0257,0.2536,1183.9696,0.155091,-422.959112,-422.948717,-422.947773,-422.994174,37.689
gdb_127854,CN=C1C=NN(C)N=N1,5.01057,1.08315,0.90061,2.5777,84.09,-0.2271,-0.0644,0.1627,1273.8567,0.123492,-430.188221,-430.179373,-430.178429,-430.223104,30.416
gdb_43293,O=C1C=CC2C3CC12C3,2.99098,1.79236,1.3729,3.3087,78.9,-0.2323,-0.0528,0.1795,947.8344,0.138274,-384.637919,-384.631456,-384.630511,-384.668554,26.881
gdb_44215,N=C1OC2C1C=CC2=O,3.51327,1.48735,1.19221,2.5334,69.39,-0.2538,-0.0736,0.1802,989.9163,0.102469,-436.706551,-436.699765,-436.698821,-436.738036,25.899
gdb_77999,CC1OC2(C#C)C(O)C12,3.07595,1.30509,1.08931,1.694,76.98,-0.2343,0.0104,0.2447,1142.1275,0.133607,-421.745868,-421.737251,-421.736307,-421.778667,33.263
gdb_89083,CC1CN1CCCC#C,5.47304,0.57209,0.54216,1.6948,90.08,-0.2247,0.059,0.2837,2057.2418,0.191707,-367.151242,-367.140732,-367.139788,-367.187763,38.013
gdb_96485,CC1CCCCN=CO1,2.52243,1.4338,1.04827,2.3613,83.29,-0.2491,0.0109,0.26,1224.3612,0.195659,-404.360225,-404.351426,-404.350482,-404.393292,34.262
gdb_57320,CC(C)(C(=O)NC=O)O,3.08047,1.02541,0.92425,5.0417,70.82,-0.2433,-0.0314,0.2119,1321.9556,0.14437,-476.279476,-476.2693,-476.268356,-476.314985,36.222
gdb_45211,O=C1CC2CC3CC1C23,2.88516,1.77491,1.38561,2.99,77.45,-0.2314,-0.0146,0.2168,972.1422,0.16182,-385.899486,-385.892614,-385.89167,-385.93092,28.276
gdb_226,CC(C)(C)CO,4.38057,2.60111,2.59415,1.3469,59.72,-0.2638,0.0725,0.3363,650.4504,0.163869,-272.841336,-272.83319,-272.832246,-272.872437,29.797
gdb_101101,CCC(C)C12CN(C1)C2,3.20367,1.03818,0.92112,2.0233,89.03,-0.2223,0.0724,0.2947,1409.4808,0.217741,-368.342717,-368.333243,-368.332299,-368.377292,36.296
gdb_62620,CC1(C)C2C3OC1(C)C23,2.24761,1.84536,1.60678,1.5667,80.85,-0.2243,0.0814,0.3057,1002.6913,0.1806,-387.039193,-387.03052,-387.029576,-387.071476,34.911
gdb_80467,CN1C2CN(C)C(=O)C12,2.52605,1.57193,1.32995,3.6817,76.34,-0.2334,0.017,0.2504,1056.6395,0.16017,-419.217525,-419.2089,-419.207955,-419.250674,31.947
gdb_1621,CC(O)C(C)C#N,3.05932,2.30622,1.77809,3.0848,60.54,-0.2839,0.028,0.3119,790.0257,0.135329,-325.80068,-325.792432,-325.791488,-325.832828,29.453
gdb_6229,CC1(O)C(O)C1(C)O,2.16939,2.10588,1.62258,2.3756,64.52,-0.2263,0.0633,0.2896,917.7734,0.149211,-422.046951,-422.037236,-422.036291,-422.080125,36.103
gdb_28219,Cc1nc2c(o1)COC2,4.89163,1.21833,0.99363,1.8316,72.46,-0.2244,0.0019,0.2262,1157.9166,0.125637,-437.907775,-437.900091,-437.899147,-437.94041,27.746
gdb_109640,COC1C(O)C1(N)C#N,2.1953,1.31976,1.06526,5.6182,70.29,-0.2506,0.0146,0.2652,1189.8357,0.134092,-455.110125,-455.100298,-455.099354,-455.144815,35.022
gdb_107537,OCC12OC1CC2C#N,2.04664,1.72158,1.1251,5.238,69.08,-0.2806,0.0234,0.3039,1088.1723,0.123612,-437.852779,-437.84438,-437.843436,-437.886413,30.579
gdb_57811,CC(O)C#CCCC#C,6.32269,0.48048,0.45984,1.3599,88.62,-0.2531,0.0327,0.2859,2337.2748,0.155507,-385.829898,-385.81892,-385.817976,-385.868438,38.219
gdb_126008,CC1CNC2=C1N=NO2,1.98642,1.86293,1.00144,4.8778,77.62,-0.2223,-0.0567,0.1656,1135.5031,0.124976,-434.088544,-434.080092,-434.079148,-434.122013,30.554
gdb_108066,CCC12CN3CC1(O)C23,2.58981,1.58774,1.22949,1.2404,78.36,-0.218,0.0645,0.2824,1094.49,0.170836,-403.070225,-403.061788,-403.060844,-403.103148,33.066
gdb_14880,COC1COC1CO,3.77082,1.35111,1.09102,3.477,64.43,-0.2471,0.0584,0.3055,1103.677,0.15268,-422.035008,-422.026279,-422.025335,-422.069003,30.554
gdb_43783,O=C1CC2(CC1N2)C#N,4.14288,1.22697,1.10913,2.7027,70.11,-0.2558,-0.0323,0.2235,1061.7255,0.114202,-416.802927,-416.795825,-416.794881,-416.834532,27.595
gdb_17694,C1OC1C12CC(C1)O2,4.86112,1.60817,1.56034,2.4904,64.9,-0.24,0.0802,0.3202,862.6727,0.130246,-383.641314,-383.634605,-383.63366,-383.672611,25.688
gdb_74278,CC1=CC(C)(O)CC1=O,2.70061,1.2513,1.0443,3.803,79.43,-0.2388,-0.0433,0.1954,1227.257,0.156997,-423.074603,-423.065103,-423.064159,-423.108977,35.33
gdb_13,CCC,29.45018,8.37701,7.42076,0.0597,34.75,-0.323,0.0949,0.4179,227.1361,0.103182,-119.052475,-119.047927,-119.046983,-119.078157,14.84
gdb_99924,OCC(O)(C#C)C1CN1,2.00237,1.45154,1.14033,1.4293,73.49,-0.2446,0.0215,0.2661,1161.5119,0.14488,-439.003559,-438.993531,-438.992587,-439.038468,36.533
gdb_125457,CC1=NC(O)=NOC1=N,3.05831,1.49799,1.01168,0.3729,69.38,-0.2451,-0.0855,0.1595,1093.7777,0.100403,-469.994593,-469.986743,-469.985799,-470.027234,29.095
gdb_16612,CC1=C(C)C2OC2C1,3.01387,2.11447,1.38297,1.9419,74.03,-0.2242,0.0145,0.2387,932.7744,0.153162,-347.807459,-347.799617,-347.798673,-347.839296,29.657
gdb_74753,CC1=CC2CC1C2(C)O,2.79657,1.47277,1.29927,1.4684,83.95,-0.2255,0.0118,0.2373,1103.7238,0.182268,-387.070697,-387.062162,-387.061218,-387.103084,34.618
gdb_124771,CC(O)C1=CN=NN1C,2.65452,1.43566,1.01115,3.7571,74.08,-0.2534,-0.004,0.2494,1177.5521,0.147835,-435.268311,-435.259285,-435.25834,-435.302309,32.666
gdb_64385,CC1(C)COCC1C#N,2.194,1.53232,1.14343,3.0717,78.35,-0.2721,0.027,0.2991,1148.0356,0.171177,-403.174913,-403.165839,-403.164895,-403.209057,34.158
gdb_116404,CNC1COCOC1=O,2.26027,1.55954,1.0706,4.0735,68.59,-0.2301,0.0015,0.2316,1152.4219,0.148572,-476.233588,-476.224959,-476.224015,-476.267423,31.211
gdb_130465,c1cc2conc2nc1,4.0174,1.71505,1.20193,4.9534,73.64,-0.2441,-0.0794,0.1646,926.5183,0.09321,-415.63242,-415.626719,-415.625775,-415.662436,22.897
gdb_68147,CC12CC(C1)(CC2)C=O,3.29713,1.22864,1.07893,2.9137,83.51,-0.2435,-0.0199,0.2237,1199.1823,0.182918,-387.103204,-387.094744,-387.0938,-387.136123,33.187
gdb_9584,CC1(OC1C#N)C=O,4.6924,1.29613,1.20604,1.7829,60.58,-0.2813,-0.066,0.2153,974.174,0.092602,-398.59676,-398.588733,-398.587789,-398.629475,27.66
gdb_65304,OC1(CC11COC1)C#N,2.72836,1.33094,1.11262,3.8889,70.06,-0.2586,0.0038,0.2624,1108.8444,0.123025,-437.847127,-437.838646,-437.837702,-437.880459,31.063
gdb_96402,CC1OCCOC1C#C,2.04781,1.74878,1.22186,0.3006,77.0,-0.2394,0.0349,0.2743,1099.7076,0.158633,-422.98882,-422.980122,-422.979178,-423.021805,33.407
gdb_1452,COC(=N)NC=O,4.77663,2.05398,1.44944,2.7669,54.27,-0.2591,-0.0098,0.2493,794.657,0.101327,-377.797879,-377.79033,-377.789386,-377.830464,25.276
gdb_56889,CC(C#N)N1CC(O)C1,3.04944,1.05401,0.91028,3.1577,75.98,-0.2452,0.0255,0.2707,1318.7803,0.158616,-419.190772,-419.181408,-419.180464,-419.22523,34.213
gdb_33259,c1c(nco1)OCCO,5.60691,0.80191,0.73304,1.5514,67.3,-0.2236,-0.0022,0.2215,1485.5425,0.124679,-475.033293,-475.024961,-475.024017,-475.067808,29.594
gdb_91631,CC1OC2CC1C1NC21,2.92664,1.71117,1.52601,1.4827,76.76,-0.2336,0.0795,0.313,965.1157,0.174495,-403.128404,-403.121438,-403.120494,-403.159322,29.54
gdb_108389,CNC12COC1C2C#N,2.3738,1.43643,1.10358,5.3027,73.81,-0.2408,0.0284,0.2693,1138.4957,0.135563,-417.956614,-417.947951,-417.947007,-417.990351,31.545
gdb_89057,CC1CN1CCC1CC1,4.4742,0.65201,0.60868,1.2093,91.05,-0.2196,0.092,0.3116,1930.3851,0.216667,-368.370954,-368.360841,-368.359897,-368.407158,37.372
gdb_87402,CC1OC11C(C)CC1O,1.95697,1.59917,1.0915,1.9425,79.12,-0.2465,0.0609,0.3074,1212.9626,0.180294,-424.201469,-424.19176,-424.190816,-424.235628,36.561
gdb_124372,CC(=O)Nc1nnon1,5.2508,0.99847,0.84336,4.8063,62.46,-0.2799,-0.0724,0.2074,1267.0468,0.087886,-486.037003,-486.028907,-486.027963,-486.071154,27.66
gdb_85761,OC1CC(C#N)C2OC12,3.48157,1.19807,1.02244,5.2735,68.55,-0.2808,0.0242,0.305,1141.4947,0.124915,-437.88269,-437.874809,-437.873865,-437.9153,29.557
gdb_26281,CC(O)C1=NC=CN=C1,3.58175,1.21962,0.99083,1.5224,77.38,-0.2567,-0.0575,0.1992,1188.9751,0.137389,-418.057376,-418.049354,-418.048409,-418.090653,29.994
gdb_1852,CC1CC(=O)C=C1,5.72871,2.06274,1.64909,3.6273,63.62,-0.2358,-0.0431,0.1927,757.8619,0.125647,-308.561152,-308.554569,-308.553625,-308.591899,24.414
gdb_126610,CCCn1ccc(n1)C,4.17868,0.839,0.74266,1.8771,87.19,-0.227,0.0313,0.2583,1619.129,0.183102,-383.309942,-383.300293,-383.299349,-383.345567,34.62
gdb_119014,OCCC1(O)CCOC1,3.60982,0.87854,0.84822,1.8105,74.35,-0.243,0.0582,0.3012,1443.5003,0.18164,-461.355519,-461.345637,-461.344693,-461.39075,35.972
gdb_61934,OC(CCC#N)C1CN1,4.79699,0.6689,0.63448,2.2134,76.46,-0.2545,0.0315,0.2859,1728.2594,0.15921,-419.19185,-419.182313,-419.181369,-419.227199,34.243
gdb_116487,OCC1CCCOC=N1,3.10629,1.14323,0.87857,3.5881,77.54,-0.2454,0.0086,0.254,1318.4129,0.172708,-440.290702,-440.28211,-440.281165,-440.324346,32.443
gdb_88984,CC1OC1CC1CC1O,2.93584,1.13777,1.04403,3.1204,78.43,-0.2217,0.0861,0.3078,1266.4044,0.181761,-424.189298,-424.180071,-424.179127,-424.223495,35.166
gdb_53069,CC#CC1=CCC(=O)N1,5.36236,0.76208,0.67281,4.181,86.3,-0.2104,-0.0267,0.1837,1626.9139,0.123402,-400.781128,-400.772079,-400.771135,-400.817651,31.832
gdb_89946,OC1CC2(CNC12)C#N,3.21834,1.30938,1.09454,3.0625,73.01,-0.2572,0.0116,0.2688,1102.6921,0.137752,-417.980832,-417.973082,-417.972138,-418.013206,29.996
gdb_58469,CC(C)C1(C)OC1(C)C,2.34572,1.18343,1.09103,1.6823,88.86,-0.2509,0.0767,0.3276,1348.604,0.224769,-389.496548,-389.484998,-389.484054,-389.532586,42.922
gdb_8421,CC1C2OC(C)(C)C12,3.50728,1.82274,1.53572,1.5005,74.74,-0.2303,0.087,0.3173,934.062,0.175435,-348.973387,-348.964993,-348.964049,-349.005372,32.654
gdb_70625,OC12CC1CCC21CC1,2.33198,1.81932,1.30053,1.437,81.75,-0.2347,0.0751,0.3098,1059.7428,0.183813,-387.076907,-387.068862,-387.067918,-387.108859,33.317
gdb_110162,CNC1C(OC1=N)C#N,2.65011,1.20161,0.90593,2.8477,72.26,-0.2519,-0.0154,0.2365,1265.7667,0.124213,-434.052959,-434.044183,-434.043239,-434.087016,31.147
gdb_127291,Cn1cc2c(n1)CCN2,4.68465,1.23054,0.99993,2.0331,81.34,-0.1827,0.0263,0.209,1187.2109,0.151278,-398.140911,-398.133152,-398.132208,-398.173265,29.474
gdb_27387,c1c([nH]c(nc1=O)O)N,2.0244,1.87391,0.97469,7.1172,68.01,-0.223,-0.0019,0.2211,1111.8986,0.103277,-470.079943,-470.072285,-470.071341,-470.111972,29.463
gdb_65717,CC1(CC2NC12)OC=N,3.74534,1.07674,0.99577,2.5464,77.9,-0.2409,0.0232,0.2641,1246.4045,0.158611,-419.156418,-419.147745,-419.146801,-419.189762,32.993
gdb_51744,N=COC1CCC1C#C,2.42259,1.24346,0.91997,3.4127,80.31,-0.2527,0.0193,0.272,1292.248,0.146093,-401.897359,-401.888138,-401.887193,-401.932613,33.201
gdb_6020,CC(N)C(C)(N)C#N,2.60329,1.71864,1.40448,5.7723,71.35,-0.2421,0.0408,0.2828,993.6639,0.164372,-361.244767,-361.234931,-361.233987,-361.278481,36.247
gdb_111856,CCN1C2COCC12C,2.24175,1.50012,1.16668,0.7916,82.63,-0.2187,0.0867,0.3053,1197.3559,0.194048,-404.330334,-404.321085,-404.320141,-404.364137,34.992
gdb_41180,C1CC23OC(CC=C2)C13,3.0425,1.74984,1.56762,1.8159,80.87,-0.2303,-0.0019,0.2283,940.3628,0.161139,-385.78453,-385.777822,-385.776878,-385.815049,28.959
gdb_30462,CN=C1OC=C(N)C=C1,4.75618,1.04912,0.86536,3.8405,85.11,-0.1877,-0.0389,0.1488,1313.7463,0.136413,-418.028974,-418.020362,-418.019418,-418.062264,32.055
gdb_64088,CC1(CCC(=O)OC1)C,3.13565,1.19377,1.08768,4.5158,78.25,-0.2568,0.013,0.2698,1212.9962,0.182545,-424.282555,-424.273487,-424.272543,-424.316028,34.825
gdb_10030,CCC(C=O)C#CC,3.24652,1.04745,0.82766,2.8456,78.41,-0.2417,-0.0254,0.2163,1407.1307,0.150184,-347.796737,-347.786553,-347.785609,-347.833966,33.727
gdb_57768,CC(C)C#CC(C)C=O,2.84283,0.67555,0.62061,2.8422,90.2,-0.242,-0.0255,0.2166,1918.3619,0.178708,-387.085469,-387.074181,-387.073237,-387.124112,38.949
gdb_23124,OCC1C=CCC1=NO,2.52846,1.22913,0.86602,1.1158,76.72,-0.2364,0.0086,0.245,1304.7566,0.146816,-439.049915,-439.040919,-439.039974,-439.083931,33.268
gdb_49376,N=CN1C(CC1=O)C#N,2.4061,1.40974,0.9676,3.515,71.13,-0.2711,-0.0401,0.231,1157.8458,0.10086,-432.891851,-432.883554,-432.88261,-432.925593,28.891
gdb_4443,c1(c([nH]c(=O)[nH]1)N)N,3.66246,1.81182,1.22448,4.2733,61.0,-0.1741,0.0586,0.2326,919.4747,0.109297,-412.086418,-412.07857,-412.077626,-412.118111,29.287
gdb_122638,CCOCC1COC1C,3.78273,0.72811,0.65365,1.9911,83.39,-0.2406,0.0854,0.326,1806.0393,0.203805,-425.404349,-425.393794,-425.39285,-425.44127,37.121
gdb_101221,OCC(O)C1CC(=N)O1,4.26689,0.86728,0.86405,1.1949,69.72,-0.2651,0.0166,0.2817,1382.9211,0.147082,-476.213994,-476.205056,-476.204112,-476.248181,33.095
gdb_56300,C(COCC#N)C(=O)N,7.08536,0.52666,0.49474,4.2414,70.86,-0.2601,0.0106,0.2706,2067.775,0.133508,-455.176801,-455.166213,-455.165268,-455.215402,34.626
gdb_7215,CC#CC([NH3+])C([O-])=O,3.77064,1.14458,0.9231,5.1819,66.16,-0.2483,0.0145,0.2628,1230.7044,0.11769,-399.804601,-399.795559,-399.794615,-399.840104,30.66
gdb_81474,CN1C2CC1C1CC2O1,2.73273,2.01554,1.65661,1.4516,77.47,-0.1952,0.0565,0.2517,913.932,0.173724,-403.059224,-403.052217,-403.051273,-403.090661,29.125
gdb_6867,CC1(CCOCC1)O,3.28322,1.74685,1.53584,1.9773,70.58,-0.2398,0.0625,0.3023,932.7515,0.177734,-386.155699,-386.147691,-386.146747,-386.187271,31.806
gdb_80971,CC1=CC2(C)NC1C2O,2.78993,1.43653,1.16559,2.1272,81.04,-0.216,0.0126,0.2286,1142.5241,0.171051,-403.117313,-403.108743,-403.107799,-403.149886,33.938
gdb_57810,CC(C)C#CCCC#N,5.9353,0.48499,0.46172,4.3475,90.59,-0.2594,0.0262,0.2857,2345.5579,0.168899,-366.015624,-366.004777,-366.003833,-366.054221,37.318
gdb_61629,CN1CC1CC(O)C#N,3.11746,0.86152,0.78919,2.8165,76.96,-0.2367,0.0077,0.2444,1492.5533,0.1578,-419.176556,-419.166803,-419.165858,-419.211867,35.126
gdb_53968,CC(C)(CC#N)C(=O)N,3.05196,1.05813,0.95282,5.0558,75.4,-0.2602,0.0162,0.2764,1281.7871,0.156893,-419.268542,-419.257948,-419.257003,-419.304548,37.844
gdb_85121,CC1NC(=O)C1(C)C=O,1.75192,1.6769,1.30091,3.3933,73.53,-0.2506,-0.0361,0.2145,1108.273,0.145068,-439.124657,-439.114944,-439.114,-439.159436,34.514
gdb_121913,CCCCC(O)C(C)O,4.04842,0.59729,0.57775,2.3065,86.47,-0.2558,0.0626,0.3184,2086.357,0.226184,-426.639112,-426.627358,-426.626414,-426.676604,42.491
gdb_43674,C1CN1CC2CC(=O)C2,5.66338,0.72562,0.7003,3.6436,81.02,-0.238,-0.0162,0.2218,1625.2147,0.169686,-403.122449,-403.11353,-403.112586,-403.157618,32.924
gdb_130121,NC1=NC(N)=[NH+][N-]C1=N,3.2938,1.47336,1.01904,5.1929,77.72,-0.1636,-0.0263,0.1374,1094.1222,0.115868,-446.319693,-446.311856,-446.310912,-446.351655,30.779
gdb_39613,C1C=CCC=CCC=C1,1.92866,1.92726,1.08434,0.0098,90.44,-0.2293,0.0123,0.2415,1162.682,0.184986,-349.953943,-349.945893,-349.944948,-349.986022,32.791
gdb_70504,CC12CN1CC=C2C=O,2.6935,1.55626,1.15113,2.8351,80.05,-0.2326,-0.0633,0.1692,1087.3519,0.147336,-401.948023,-401.939873,-401.938928,-401.980539,31.144
gdb_6071,CC(=O)NCC(=O)N,5.22198,1.00615,0.85247,3.0559,62.96,-0.2382,0.0153,0.2535,1291.2691,0.128635,-417.133225,-417.123498,-417.122553,-417.170644,32.174
gdb_36810,C1CN1CCOCC#N,3.28419,0.79462,0.66977,2.7959,76.7,-0.2415,0.0091,0.2506,1649.3134,0.158302,-419.16499,-419.155366,-419.154422,-419.201821,33.365
gdb_76731,CC12CC1(O)C(O)C2O,1.9767,1.8685,1.25967,2.6123,72.08,-0.2224,0.0494,0.2717,1065.823,0.157791,-460.130313,-460.121274,-460.12033,-460.163447,35.116
gdb_119407,OCCC12CC(C1)CC2,3.84174,0.91968,0.87838,1.3192,85.3,-0.2615,0.0809,0.3425,1430.1045,0.207625,-388.281615,-388.272824,-388.27188,-388.315364,34.395
gdb_11619,CC(C)COC1CC1,4.92466,0.92832,0.87588,0.8981,79.41,-0.2429,0.0882,0.3312,1429.2902,0.198296,-350.189808,-350.180181,-350.179237,-350.224782,35.076
gdb_41776,C1CC2C=CCCCC12,2.75744,1.49887,1.0985,0.2531,90.42,-0.2292,0.0239,0.2531,1184.2853,0.20926,-351.159486,-351.151494,-351.15055,-351.191688,32.72
gdb_86732,CC1CN(C=C1)C(C)=O,3.58183,1.06981,0.87857,3.1712,85.38,-0.2056,0.0019,0.2074,1363.7304,0.170725,-403.201436,-403.192071,-403.191127,-403.236356,34.182
gdb_130511,c1cc-2ccnoc2c1,3.94154,1.69037,1.18302,2.3671,81.92,-0.2056,-0.0861,0.1195,956.3093,0.103431,-399.544619,-399.538505,-399.537561,-399.57492,24.863
